CONNECTION ID,# EDGES,EDGE IDS
road0,3,-404014016#5,404014016#5,8364500#1
road1,1,27373392
road2,1,404014016#5
road3,4,-207529006,-26785612#16,207529006,26785612#16
road4,2,-207529006,-26785612#15
road5,1,-27373392
road6,6,-26709645#0,-26709645#1,-26785810,26709645#0,26709645#1,26785810
road7,2,26709645#1,26785810
road8,2,-4680840,4680840
road9,1,-4680840
road10,6,-22760646#2,-694352949,224188581#0,224188581#1,22760646#2,694352949
road11,1,4680840
road12,6,107190663,139291982#0,26781036,4680851#1,694352948,694352951
road13,1,139291982#0
road14,1,-161652141#12
road15,6,-161652141#13,-161652141#14,-583871396#0,161652141#13,161652141#14,583871396#0
road16,1,-9344819#1
road17,1,694352951
road18,1,-156159285#3
road19,4,-156159285#4,-9344819#1,156159285#4,9344819#1
road20,1,9344819#1
road21,4,-8096701#4,-8256233#2,8096701#4,8256233#2
road22,1,-8256233#2
road23,1,8096701#4
road24,1,-500008415
road25,2,-8096707#0,8096707#0
road26,1,8096707#0
road27,4,-166366049,-17513374,166366049,17513374
road28,1,17513374
road29,10,-26838535,-673447481#0,-673447481#1,26838535,4680890,673441932,673447481#0,673447481#1,673447483#3,687471330#0
road30,1,673447481#1
road31,1,687471330#0
road32,1,687471330#0
road33,6,-206996918#1,-648541446#0,-648541446#1,206996918#1,648541446#0,648541446#1
road34,1,-206996918#1
road35,3,43573215#4,8347025,8347028#0
road36,6,-36776003,-584351058,36776003,43573215#2,584351058,8347025
road37,1,36776003
road38,2,43573215#3,8347025
road39,1,7744564
road40,1,-4607833
road41,1,-7744564
road42,1,637034136#0
road43,1,-637034136#0
road44,4,-637034136#1,4607837#1,637034136#1,7744565#0
road45,1,637034136#1
road46,2,-4607885#0,4607885#0
road47,1,-637034136#1
road48,1,4607885#1
road49,1,637034137#0
road50,2,-197476980#3,-4607886
road51,4,-197476980#4,-4607886,197476980#4,4607886
road52,1,197476980#5
road53,22,-160532844#0,-160532844#1,-160532844#2,-166482547#1,-166482547#2,-234295188#0,-234295188#1,-234295188#2,-234295188#3,-4390227#0,-4390227#1,160532844#0,160532844#1,160532844#2,166482547#1,166482547#2,234295188#0,234295188#1,234295188#2,234295188#3,4390227#0,4390227#1
road54,1,-197476980#5
road55,1,160532844#3
road56,1,4390227#1
road57,9,-160532844#3,-160532844#4,-160532844#5,-562623113,160532844#3,160532844#4,160532844#5,2509158#0,562623113
road58,1,-160532844#3
road59,1,-41518094#5
road60,1,-562623113
road61,2,-41518094#4,41518094#4
road62,1,-41518094#4
road63,1,41518094#5
road64,24,-228015712#0,-228015712#1,-330437#0,-330437#1,-330481,-41518094#0,-41518094#1,-41518094#2,-41518094#3,-690824735#1,-690824735#2,228015712#0,228015712#1,330437#0,330437#1,330481,41518094#0,41518094#1,41518094#2,41518094#3,47047809#0,609061151#1,690824735#1,690824735#2
road65,1,228015712#1
road66,1,41518094#4
road67,1,47047809#1
road68,20,-609058172,-609061152#0,-609061152#1,-670636345,201758516,201758599,201759853#0,201759853#1,201759853#2,201762123,205586178#0,205586178#1,205586178#2,47047809#1,609058172,609061150,609061151#0,609061152#0,609061152#1,670636345
road69,1,609061151#1
road70,1,650317756#0
road71,6,-2498957,101417332,2498957,496742426,650317756#1,650317756#2
road72,1,496742428
road73,1,-154540870#0
road74,8,-154540879#0,-154540881#0,-154540881#1,-154540889#1,154540879#0,154540881#0,154540881#1,154540889#1
road75,1,154540870#0
road76,1,154540879#0
road77,1,154540881#2
road78,1,-154540879#0
road79,4,-154540879#1,-2514019#1,154540879#1,2514019#1
road80,2,-2514020#1,34083185#0
road81,2,2514019#1,2514020#1
road82,6,-2483868#1,-2514020#1,-2514020#3,2483868#1,2514020#1,2514020#3
road83,2,-2514019#1,-2514020#1
road84,2,2483868#2,67386011
road85,10,-2417071#2,-2417071#3,-458181878#0,-458181878#1,-675062807,2417071#2,2417071#3,458181878#0,458181878#1,675062807
road86,1,2417071#3
road87,10,-18122230#2,-2499080#0,-2499080#1,-2499081#1,-35209032,18122230#2,2499080#0,2499080#1,2499081#1,35209032
road88,1,-2499081#0
road89,1,18122230#3
road90,1,2499080#1
road91,4,-18122224#2,-207807963#3,18122224#2,207807963#3
road92,2,-207807963#3,-22812251
road93,1,-2499080#1
road94,1,5067436#0
road95,1,-5067436#0
road96,1,5067437
road97,2,-207807964,207807964
road98,1,207807964
road99,8,-5067434#2,-5067434#3,-5067434#4,-6012207,5067434#2,5067434#3,5067434#4,6012207
road100,1,-5067434#2
road101,1,5067434#5
road102,27,-227559184#0,-227559184#1,-331680#0,-331680#1,-331680#2,-38876077#0,-38876077#1,-4839806#0,-5067434#0,-5067434#1,-5067434#2,-569089299,227558477#0,227558477#1,227558477#2,227559184#0,227559184#1,331680#0,331680#1,331680#2,38876077#0,38876077#1,4839806#0,5067434#0,5067434#1,5067434#2,569089299
road103,1,227558478
road104,1,5067434#2
road105,1,-227558614
road106,1,238183056
road107,1,238183056
road108,1,4839680#0
road109,1,-4839680#0
road110,1,4839680#1
road111,6,-299392149,-38875969#0,-4839680#1,299392149,38875969#0,4839680#1
road112,1,-383210220
road113,1,-4839680#1
road114,1,38875969#0
road115,10,-100610983,-231133185#2,-38875966,-38875969#1,-4839785#2,100610983,231133185#2,38875966,38875969#1,4839785#2
road116,2,-173296857,173296855#0
road117,1,-38875969#0
road118,1,38875967#0
road119,4,-173296855#0,-5943459#3,173296855#0,5943459#3
road120,2,-173296855#0,173296857
road121,1,173296855#0
road122,1,-173296855#0
road123,12,-173296855#1,-173296855#2,-173296855#3,-173296856,-50883166#1,-5943459#1,173296855#1,173296855#2,173296855#3,173296856,50883166#1,5943459#1
road124,2,-5943459#0,173296855#3
road125,2,-173296855#3,5943459#0
road126,12,-195363389,-195363390#0,-195363390#1,-50883141#1,-649646597#0,-649646597#1,195363389,195363390#0,195363390#1,50883141#1,649646597#0,649646597#1
road127,2,38875965#0,5884901
road128,2,-404014016#5,8364500#0
road129,6,-207529006,-26785612#13,-26785612#14,207529006,26785612#13,26785612#14
road130,2,-26785612#12,404014016#5
road131,2,207529006,26785612#15
road132,1,-26785806#0
road133,4,-26785806#1,-40253011,26785806#1,40253011
road134,2,-26785807,26785806#2
road135,3,-25913823,25913823,26709645#1
road136,2,-26709645#1,-26785810
road137,2,-26785810,26785810
road138,3,-25913823,-26709645#1,25913823
road139,5,-26709645#2,-8407161#0,26709645#2,8407161#0,9195642#0
road140,2,25913823,8407161#0
road141,1,9195642#0
road142,9,-26801532#0,-26801532#1,224188120#0,224188120#1,235283104,26801532#0,26801532#1,9195642#0,9195642#1
road143,1,224188120#1
road144,1,224188123#1
road145,1,122056180
road146,4,139291982#1,139291982#2,224187909,224188123#0
road147,1,224188123#1
